"Informazioni cronologiche","Utile","Intuitiva","Chiara","Informativa","Bella","Valore complessivo"
"2019/05/29 5:41:05 PM EET","6","5","5","6","6","6"
"2019/05/29 5:43:39 PM EET","6","5","6","5","3","5"
"2019/05/29 5:53:43 PM EET","6","6","6","6","5","6"
"2019/05/29 6:31:48 PM EET","5","3","4","6","5","5"
"2019/05/29 6:33:03 PM EET","4","4","4","4","4","4"
"2019/05/29 6:36:29 PM EET","5","5","5","5","5","5"
"2019/05/29 7:41:03 PM EET","3","4","3","4","1","4"
"2019/05/29 7:41:36 PM EET","4","5","5","4","3","5"
"2019/05/29 8:01:34 PM EET","5","3","3","5","4","4"
"2019/05/29 8:26:48 PM EET","4","4","5","6","6","5"
"2019/05/29 8:52:38 PM EET","4","3","3","3","3","3"
"2019/05/30 12:13:09 AM EET","5","5","5","6","4","5"
"2019/05/30 9:54:30 AM EET","6","6","6","6","6","5"
"2019/05/30 10:24:59 AM EET","6","5","5","5","6","5"
"2019/05/31 3:17:50 PM EET","4","4","5","5","4","4"
"2019/05/31 3:19:49 PM EET","4","3","4","4","5","4"
"2019/05/31 3:54:53 PM EET","5","3","5","5","5","5"
"2019/05/31 4:05:01 PM EET","4","4","3","4","3","4"
"2019/05/31 4:11:38 PM EET","6","6","6","6","6","6"
"2019/05/31 4:12:54 PM EET","5","3","3","5","4","4"
"2019/05/31 4:57:03 PM EET","5","4","4","5","5","5"
"2019/05/31 5:55:35 PM EET","6","3","3","5","4","5"
"2019/05/31 6:23:03 PM EET","1","1","1","2","2","1"
"2019/06/01 10:24:05 AM EET","4","3","3","3","4","4"
"2019/06/01 10:28:30 AM EET","4","5","5","5","5","5"
"2019/06/01 10:51:24 AM EET","6","5","6","6","6","6"
"2019/06/01 11:12:13 AM EET","5","3","6","5","4","5"
"2019/06/01 1:27:53 PM EET","5","4","4","5","6","5"
